GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;7;0.93;PROVISIONAL;2019-05-27 10:39
SD;9;1.2;PROVISIONAL;2019-05-27 10:39
GUENGL;4;0.53;PROVISIONAL;2019-05-27 10:39
GREENSEFA;1;0.13;PROVISIONAL;2019-05-27 10:39
