GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
SD;10;1.33;PROVISIONAL;2019-05-27 15:05
ECR;4;0.53;PROVISIONAL;2019-05-27 15:05
ALDE;16;2.13;PROVISIONAL;2019-05-27 15:05
GREENSEFA;11;1.46;PROVISIONAL;2019-05-27 15:05
EFDD;29;3.86;PROVISIONAL;2019-05-27 15:05
