GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;4;0.53;PROVISIONAL;2019-06-06 12:05
ALDE;1;0.13;PROVISIONAL;2019-06-06 12:05
GUENGL;2;0.27;PROVISIONAL;2019-06-06 12:05
GREENSEFA;2;0.27;PROVISIONAL;2019-06-06 12:05
NA;2;0.27;PROVISIONAL;2019-06-06 12:05
