GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;179;23.83;PROVISIONAL;2019-06-06 12:05
SD;153;20.37;PROVISIONAL;2019-06-06 12:05
ECR;64;8.52;PROVISIONAL;2019-06-06 12:05
ALDE;106;14.11;PROVISIONAL;2019-06-06 12:05
GUENGL;38;5.06;PROVISIONAL;2019-06-06 12:05
GREENSEFA;74;9.85;PROVISIONAL;2019-06-06 12:05
EFDD;54;7.19;PROVISIONAL;2019-06-06 12:05
ENF;58;7.72;PROVISIONAL;2019-06-06 12:05
NA;9;1.2;PROVISIONAL;2019-06-06 12:05
Others;16;2.13;PROVISIONAL;2019-06-06 12:05
