GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;13;1.73;PROVISIONAL;2019-05-26 23:51
SD;5;0.67;PROVISIONAL;2019-05-26 23:51
ALDE;2;0.27;PROVISIONAL;2019-05-26 23:51
NA;1;0.13;PROVISIONAL;2019-05-26 23:51
