GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;8;1.07;PROVISIONAL;2019-05-27 19:07
SD;5;0.67;PROVISIONAL;2019-05-27 19:07
ALDE;21;2.8;PROVISIONAL;2019-05-27 19:07
GUENGL;6;0.8;PROVISIONAL;2019-05-27 19:07
GREENSEFA;12;1.6;PROVISIONAL;2019-05-27 19:07
ENF;22;2.93;PROVISIONAL;2019-05-27 19:07
