GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;7;0.93;PROVISIONAL;2019-05-28 14:38
SD;19;2.53;PROVISIONAL;2019-05-28 14:38
ECR;5;0.67;PROVISIONAL;2019-05-28 14:38
EFDD;14;1.86;PROVISIONAL;2019-05-28 14:38
ENF;28;3.73;PROVISIONAL;2019-05-28 14:38
