GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;4;0.53;PROVISIONAL;2019-05-26 23:51
SD;3;0.4;PROVISIONAL;2019-05-26 23:51
ECR;3;0.4;PROVISIONAL;2019-05-26 23:51
ALDE;4;0.53;PROVISIONAL;2019-05-26 23:51
GUENGL;1;0.13;PROVISIONAL;2019-05-26 23:51
GREENSEFA;3;0.4;PROVISIONAL;2019-05-26 23:51
ENF;3;0.4;PROVISIONAL;2019-05-26 23:51
