GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;5;0.67;PROVISIONAL;2019-06-04 15:48
ECR;4;0.53;PROVISIONAL;2019-06-04 15:48
ALDE;6;0.8;PROVISIONAL;2019-06-04 15:48
GUENGL;1;0.13;PROVISIONAL;2019-06-04 15:48
GREENSEFA;3;0.4;PROVISIONAL;2019-06-04 15:48
ENF;2;0.27;PROVISIONAL;2019-06-04 15:48
