GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;14;1.86;PROVISIONAL;2019-05-27 10:18
SD;9;1.2;PROVISIONAL;2019-05-27 10:18
ECR;1;0.13;PROVISIONAL;2019-05-27 10:18
ALDE;8;1.07;PROVISIONAL;2019-05-27 10:18
